CE04OSPD-DP01B-01-CTDPFL105,10/11/2021: no recent evaluation
RS01SBPD-DP01A-01-CTDPFL104,offline
RS03AXPD-DP03A-01-CTDPFL304,10/11/2021: no recent evaluation
CE04OSPD-DP01B-06-DOSTAD105,10/11/2021: no recent evaluation
RS01SBPD-DP01A-06-DOSTAD104,offline
RS03AXPD-DP03A-06-DOSTAD304,10/11/2021: no recent evaluation
CE04OSPD-DP01B-03-FLCDRA103,10/11/2021: no recent evaluation
RS01SBPD-DP01A-03-FLCDRA102,offline
RS03AXPD-DP03A-03-FLCDRA302,10/11/2021: no recent evaluation
CE04OSPD-DP01B-04-FLNTUA103,10/11/2021: no recent evaluation
RS01SBPD-DP01A-04-FLNTUA102,offline
RS03AXPD-DP03A-03-FLNTUA302,10/11/2021: no recent evaluation
RS01SBPD-DP01A-05-OPTAAC102,not deployed
RS03AXPD-DP03A-05-OPTAAC302,not deployed
CE04OSPD-DP01B-02-VEL3DA105,10/11/2021: no recent evaluation
RS01SBPD-DP01A-02-VEL3DA103,offline
RS03AXPD-DP03A-02-VEL3DA303,10/11/2021: no recent evaluation
